Time-Year,Time-Date,Ticker,AAPL,CDW,CTRX,FB,GOOG,GOOGL,INTC,MSFT,MU,QCOM,STX,TECD,TXN,WDC
2012,2012-04-05,,100.00,,100.00,,,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
2012,2012-04-09,,100.40,,99.44,,,99.77,98.90,98.66,96.84,98.98,103.03,98.65,99.00,99.87
2012,2012-04-10,,99.17,,96.88,,,99.13,97.76,96.67,94.20,98.56,99.66,97.42,97.61,96.30
2012,2012-04-11,,98.81,,98.31,,,100.58,99.22,96.30,94.47,98.56,100.64,98.54,98.54,96.17
2012,2012-04-12,,98.27,,99.23,,,102.95,101.45,98.28,94.20,101.69,104.91,100.32,100.17,98.61
2012,2012-04-13,,95.51,,100.28,,,98.78,100.08,97.74,91.70,99.23,106.45,99.78,99.14,98.19
2012,2012-04-16,,91.54,,100.18,,,95.85,101.22,98.59,93.81,98.60,110.81,99.21,99.20,99.55
2012,2012-04-17,,96.21,,102.50,,,96.40,101.41,99.76,95.39,100.06,108.42,101.07,101.00,99.42
2012,2012-04-18,,96.00,,114.13,,,96.07,99.57,98.80,93.15,99.70,112.56,100.79,100.80,104.56
2012,2012-04-19,,92.70,,123.88,,,94.78,98.63,98.39,92.36,93.11,111.84,99.93,100.56,105.80
2012,2012-04-20,,90.41,,122.35,,,94.27,98.31,102.85,87.48,92.66,113.55,100.00,100.03,104.28
2012,2012-04-23,,90.21,,118.85,,,94.51,97.76,101.92,87.35,91.62,113.97,98.17,98.24,104.22
2012,2012-04-24,,88.42,,117.04,,,95.09,97.29,101.27,85.77,92.08,115.98,98.17,96.61,104.28
2012,2012-04-25,,96.26,,118.52,,,96.43,99.25,102.16,85.90,94.15,120.60,99.83,98.47,108.55
2012,2012-04-26,,95.89,,117.06,,,97.33,100.51,101.89,86.96,95.12,120.85,101.50,98.94,110.97
2012,2012-04-27,,95.16,,117.11,,,97.26,101.10,101.48,86.56,95.53,115.00,102.38,99.63,95.44
